studyName,CruiseTow,CruiseName,Event,Tow,GridLine,"Grid Station","Date GMT","TimeStart GMT","TimeLocal CLST","LatitudeStart (º)","LongitudeStart (º)","TimeEnd GMT","LatitudeEnd (º)","LongitudeEnd (º)","TowDuration (min)","Heading (º)",SOG,"WaterDepth (m)",WindSpeed,"WindDirection (º)",NetID,TowType,DepthTarget,"DepthMaximum (m)","VolumeFilteredM3 (m³)","SiphonNum (num/1000m³)","SiphonVol (ml/1000m3)","Cnidaria_oNum (num/1000m³)","Cnidaria_oVol (ml/1000m3)","CtenophNum (num/1000m³)","CtenophVol (ml/1000m3)","ClioNum (num/1000m³)","ClioVol (ml/1000m3)","LimacinaNum (num/1000m³)","LimacinaVol (ml/1000m3)","ClioneNum (num/1000m³)","ClioneVol (ml/1000m3)","Pteropod_oNum (num/1000m³)","Pteropod_oVol (ml/1000m3)","CephalopNum (num/1000m³)","CephalopVol (ml/1000m3)","TomopterNum (num/1000m³)","TomopterVol (ml/1000m3)","Polychae_oNum (num/1000m³)","Polychae_oVol (ml/1000m3)","PseudosaNum (num/1000m³)","PseudosaVol (ml/1000m3)","Chaetogn_oNum (num/1000m³)","Chaetogn_oVol (ml/1000m3)","CopepodaNum (num/1000m³)","CopepodaVol (ml/1000m3)","OstracodNum (num/1000m³)","OstracodVol (ml/1000m3)","MysidaNum (num/1000m³)","MysidaVol (ml/1000m3)","ThemistoNum (num/1000m³)","ThemistoVol (ml/1000m3)","Amphipod_oNum (num/1000m³)","Amphipod_oVol (ml/1000m3)","EsuperbaNum (num/1000m³)","EsuperbaVol (ml/1000m3)","EcrystalNum (num/1000m³)","EcrystalVol (ml/1000m3)","EfrigidaNum (num/1000m³)","EfrigidaVol (ml/1000m3)","EtriacanNum (num/1000m³)","EtriacanVol (ml/1000m3)","ThysanoeNum (num/1000m³)","ThysanoeVol (ml/1000m3)","Euphaus_oNum (num/1000m³)","Euphaus_oVol (ml/1000m3)","DecapodaNum (num/1000m³)","DecapodaVol (ml/1000m3)","SalpEmbNum (num/1000m³)","SalpEmbVol (ml/1000m3)","SalpAggNum (num/1000m³)","SalpAggVol (ml/1000m3)","SalpSolNum (num/1000m³)","SalpSolVol (ml/1000m3)","PantarctNum (num/1000m³)","PantarctVol (ml/1000m3)","TeleosteNum (num/1000m³)","TeleosteVol (ml/1000m3)","OtherNum (num/1000m³)","OtherVol (ml/1000m3)"
PD93-01,10006,PD93-01,18,6,600,40,1993-01-09,08:29:00,05:29:00,64.9416,64.4083,00:00:00,0.0000,0.0000,13,24.0,2.0,397,0.0,0,2,Standard,0,94,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0.56,0.112,424.93,168.067,0,0,0,0,0,0,3.922,0.196,0,0,0,0,0,0,0,0,0,0,3.641,-1,0.56,-1,0,0
PD93-01,10010,PD93-01,27,10,600,60,1993-01-09,16:51:00,13:51:00,64.8147,64.7019,00:00:00,0.0000,0.0000,13,265.0,2.5,158,0.0,0,2,Standard,0,0,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,7.283,2.913,249.02,135.574,0,0,0,0,0,0,1.401,1.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD93-01,10012,PD93-01,33,12,600,80,1993-01-09,20:46:00,17:46:00,64.7006,65.0487,00:00:00,0.0000,0.0000,14,72.0,1.7,486,0.0,0,2,Standard,0,78,3853,0,0,0,0,0,0,0,0,2.076,0.208,0.519,-1,0,0,0,0,0,0,0,0,0,0,0.26,-1,-1,-1,0,0,0,0,0,0,2.336,0.389,1.817,2.076,0,0,0,0,0,0,0.519,0.026,0,0,0,0,0,0,0,0,0,0,1.557,-1,0,0,0,0
PD93-01,10015,PD93-01,43,15,600,100,1993-01-10,04:58:00,01:58:00,64.5790,65.3244,00:00:00,0.0000,0.0000,15,294.0,2.0,593,0.0,0,2,Standard,0,0,4136,0,0,0,0,0,0,0,0,0.242,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0.484,-1,-1,-1,0,0,0,0,0,0,1.209,0.484,0.484,0.073,0.242,0.017,0,0,0,0,37.718,1.934,0,0,0,0,0,0,3.627,1.934,0,0,5.803,-1,0.967,-1,0,0
PD93-01,10018,PD93-01,50,18,600,120,1993-01-10,08:18:00,05:18:00,64.4478,65.6591,00:00:00,0.0000,0.0000,14,142.0,1.9,525,0.0,0,2,Standard,0,99,3853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298,-1,-1,-1,0,0,0,0,0,0,11.16,0.649,0.26,0.078,0,0,0,0,0,0,1.817,0.389,0,0,0,0,0,0,0,0,0,0,0.779,-1,1.038,-1,0,0
PD93-01,10021,PD93-01,59,21,600,140,1993-01-10,14:13:00,11:13:00,64.3380,65.9379,00:00:00,0.0000,0.0000,18,302.0,2.2,315,0.0,0,2,Standard,0,104,4986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,25.471,0.903,0.602,0.531,0,0,0,0,0,0,0.802,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.602,-1,0,0
PD93-01,10024,PD93-01,66,24,600,160,1993-01-10,18:33:00,15:33:00,64.2096,66.2782,00:00:00,0.0000,0.0000,13,105.0,1.9,412,0.0,0,2,Standard,0,104,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,24.37,19.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD93-01,10027,PD93-01,74,27,600,180,1993-01-11,01:10:00,22:10:00,64.0954,66.5499,00:00:00,0.0000,0.0000,15,303.0,1.8,1500,0.0,0,2,Standard,0,130,4136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.704,12.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD93-01,10029,PD93-01,83,29,600,200,1993-01-11,05:56:00,02:56:00,63.9644,66.8729,00:00:00,0.0000,0.0000,13,97.0,2.0,2930,0.0,0,2,Standard,0,120,3570,0,0,0,0,0,0,0,0,8.964,0.896,3.081,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,5.882,0.42,0,0,17.087,0.7,0,0,0,0,1.961,0.28,0,0,0,0,0,0,39.496,43.137,0,0,0,0,0,0,0,0
PD93-01,10041,PD93-01,128,41,500,180,1993-01-13,01:29:00,22:29:00,64.7303,68.0010,00:00:00,0.0000,0.0000,16,160.0,2.4,395,30.0,210,2,Standard,0,115,4419,0,0,0,0,0,0,0,0,20.367,2.037,0.453,-1,0,0,0,0,0,0,0,0,0,0,0.226,-1,-1,-1,0,0,0,0,0,0,0.905,0.181,24.44,28.287,2.263,0.453,0,0,0,0,67.889,3.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD93-01,10045,PD93-01,136,45,500,160,1993-01-13,06:16:00,03:16:00,64.8551,67.7862,00:00:00,0.0000,0.0000,16,165.0,1.5,298,0.0,0,2,Standard,0,150,4419,0,0,0,0,0,0,0,0,2.942,0.294,0.226,-1,0,0,0,0,0,0,0,0,0,0,2.716,-1,-1,-1,0,0,0,0,0,0,1.131,0.226,0,0,34.171,1.131,0,0,0,0,28.966,0.453,0,0,0,0,0,0,0,0,0,0,0,0,1.131,-1,0,0
PD93-01,10046,PD93-01,140,46,500,140,1993-01-13,09:27:00,06:27:00,64.9810,67.3975,00:00:00,0.0000,0.0000,13,157.0,2.2,349,0.0,0,2,Standard,0,90,3570,0,0,0,0,0,0,0,0,6.443,0.644,0.56,-1,0,0,0,0,0,0,0,0,0,0,1.401,-1,-1,-1,0,0,0,0,0,0,0.84,0.168,50.7,32.773,0,0,0,0,0,0,34.734,1.681,0,0,0,0,0,0,0.28,2.801,0,0,0,0,0,0,0,0
PD93-01,10049,PD93-01,149,49,500,120,1993-01-13,14:26:00,11:26:00,65.1156,67.0866,00:00:00,0.0000,0.0000,14,13.0,1.8,672,0.0,0,2,Standard,0,104,3853,0,0,0,0,0,0,0,0,4.412,0.441,0,0,0,0,0,0,0,0,0,0,0,0,2.855,-1,-1,-1,0,0,0,0,0,0,2.076,0.26,0.519,0.519,0,0,0,0,0,0,1.557,0.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD93-01,10052,PD93-01,158,52,500,100,1993-01-13,21:10:00,18:10:00,65.2294,66.7677,00:00:00,0.0000,0.0000,13,197.0,1.5,440,0.0,0,2,Standard,0,99,3570,0,0,0,0,0,0,0,0,0,0,0.28,-1,0,0,0,0,0,0,0,0,0,0,0.28,-1,-1,-1,0,0,0,0,0,0,6.443,0.42,18.487,16.807,0,0,0,0,0,0,33.894,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD93-01,10055,PD93-01,166,55,500,80,1993-01-14,01:33:00,22:33:00,65.3614,66.4670,00:00:00,0.0000,0.0000,15,8.0,1.9,600,30.0,70,2,Standard,0,109,4136,0,0,0,0,0,0,0,0,0,0,0.242,-1,0,0,0,0,0,0,0,0,0,0,1.934,-1,-1,-1,0,0,0,0,0,0,1.692,0.363,0.725,0.725,0,0,0,0,0,0,14.265,0.882,0,0,0,0,0,0,0,0,0,0,0,0,0.242,-1,0,0
PD93-01,10058,PD93-01,172,58,500,60,1993-01-14,05:43:00,02:43:00,65.4757,66.1475,00:00:00,0.0000,0.0000,13,177.0,2.1,251,0.0,0,2,Standard,0,104,3570,0,0,0,0,0,0,0,0,0,0,0.28,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,5.042,0.42,200.84,80.392,0,0,0,0,0,0,218.487,9.804,0,0,0,0,0,0,0,0,0,0,0,0,0.28,-1,0,0
PD93-01,10122,PD93-01,643,122,600,30,1993-01-25,22:09:00,19:09:00,64.9952,64.2472,00:00:00,0.0000,0.0000,22,81.0,1.4,580,22.0,80,2,Standard,0,90,6118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0.327,0.108,0,0,0,0,0,0,65.381,3.269,0,0,0,0,0,0,0,0,0,0,3.106,-1,3.759,-1,0,0
